Opponent,Route,Pokémon,Level,Attack 1,Attack 2,Attack 3,Attack 4,IVS,EVS,Nature
Beauty Bridget,,Oddish,21,Sweet Scent,Poison Powder,Stun Spore,Sleep Powder,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Beauty Bridget,,Bellsprout,21,Wrap,Sleep Powder,Poison Powder,Stun Spore,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Cooltrainer Mary,Celadon City,Bellsprout,22,Wrap,Stun Spore,Poison Powder,Growth,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Cooltrainer Mary,,Oddish,22,Poison Powder,Stun Spore,Absorb,Sweet Scent,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Cooltrainer Mary,,Weepinbell,22,Vine Whip,Stun Spore,Poison Powder,Growth,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Cooltrainer Mary,,Gloom,22,Absorb,Stun Spore,Poison Powder,Sweet Scent,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Cooltrainer Mary,,Ivysaur,22,Razor Leaf,Sleep Powder,Vine Whip,Leech Seed,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Lisa,Celadon City,Oddish,23,Poison Powder,Stun Spore,Sleep Powder,Acid,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Lisa,,Gloom,23,Sweet Scent,Poison Powder,Stun Spore,Sleep Powder,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Picknicker Tina,Celadon City,Bulbasaur,24,Vine Whip,Poison Powder,Sleep Powder,Razor Leaf,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Picknicker Tina,,Ivysaur,24,Vine Whip,Poison Powder,Sleep Powder,Razor Leaf,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Beauty Lori,Celadon City,Exeggcute,24,Hypnosis,Reflect,Leech Seed,Confusion,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Beauty Tamia,Celadon City,Bellsprout,24,Sleep Powder,Poison Powder,Stun Spore,Acid,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Beauty Tamia,,Bellsprout,24,Sleep Powder,Poison Powder,Stun Spore,Acid,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Leader Erika,Celadon City,Victreebel,29,Stun Spore,Acid,Poison Powder,Giga Drain,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Leader Erika,,Tangela,24,Poison Powder,Constrict,Ingrain,Giga Drain,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Leader Erika,,Vileplume,29,Sleep Powder,Acid,Stun Spore,Giga Drain,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 7,Celadon City,Raticate,20,Tail Whip,Quick Attack,Hyper Fang,Scary Face,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 7,,Zubat,20,Leech Life,Astonish,Supersonic,Bite,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 8,Rocket Hideout,Raticate,21,Tail Whip,Quick Attack,Hyper Fang,Scary Face,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 8,,Raticate,21,Tail Whip,Quick Attack,Hyper Fang,Scary Face,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 9,Rocket Hideout,Drowzee,21,Disable,Confusion,Headbutt,Poison Gas,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 9,,Machop,21,Leer,Focus Energy,Karate Chop,Seismic Toss,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 10,Rocket Hideout,Rattata,19,Tackle,Tail Whip,Quick Attack,Hyper Fang,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 10,,Raticate,19,Tackle,Tail Whip,Quick Attack,Hyper Fang,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 10,,Raticate,19,Tackle,Tail Whip,Quick Attack,Hyper Fang,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 10,,Rattata,19,Tackle,Tail Whip,Quick Attack,Hyper Fang,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 11,Rocket Hideout,Grimer,20,Minimize,Sludge,Disable,Harden,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 11,,Koffing,20,Smog,Tackle,Poison Gas,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 11,,Koffing,20,Smog,Tackle,Poison Gas,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 12,Rocket Hideout,Grimer,22,Minimize,Sludge,Disable,Harden,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 12,,Koffing,22,Sludge,Smog,Tackle,Poison Gas,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 13,Rocket Hideout,Zubat,17,Bite,Astonish,Supersonic,Leech Life,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 13,,Koffing,17,Smog,Tackle,Poison Gas,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 13,,Grimer,17,Sludge,Disable,Harden,Pound,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 13,,Zubat,17,Bite,Astonish,Supersonic,Leech Life,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 13,,Raticate,17,Hyper Fang,Quick Attack,Tail Whip,Tackle,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 14,Rocket Hideout,Machop,21,Leer,Focus Energy,Karate Chop,Seismic Toss,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 14,,Machop,21,Leer,Focus Energy,Karate Chop,Seismic Toss,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 15,Rocket Hideout,Rattata,20,Tail Whip,Quick Attack,Hyper Fang,Focus Energy,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 15,,Raticate,20,Tail Whip,Quick Attack,Hyper Fang,Focus Energy,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 15,,Drowzee,20,Hypnosis,Disable,Confusion,Headbutt,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 16,Rocket Hideout,Koffing,21,Tackle,Smog,Self Destruct,Sludge,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 16,,Zubat,21,Astonish,Supersonic,Bite,Wing Attack,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 17,Rocket Hideout,Sandshrew,23,Defense Curl,Sand Attack,Poison Sting,Slash,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 17,,Ekans,23,Leer,Poison Sting,Bite,Glare,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 17,,Sandslash,23,Scratch,Defense Curl,Sand Attack,Poison Sting,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 18,Rocket Hideout,Ekans,23,Leer,Poison Sting,Bite,Glare,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 18,,Sandshrew,23,Defense Curl,Sand Attack,Poison Sting,Slash,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 18,,Arbok,23,Leer,Poison Sting,Bite,Glare,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Giovanni 1,Rocket Hideout,Onix,25,Bind,Rock Throw,Harden,Rage,"{""hp"": 30, ""atk"": 30, ""def"": 30, ""spa"": 30, ""spd"": 30, ""spe"": 30}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Giovanni 1,,Rhyhorn,24,Tail Whip,Stomp,Fury Attack,Scary Face,"{""hp"": 30, ""atk"": 30, ""def"": 30, ""spa"": 30, ""spd"": 30, ""spe"": 30}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Giovanni 1,,Kangaskhan,29,Bite,Tail Whip,Fake Out,Mega Punch,"{""hp"": 30, ""atk"": 30, ""def"": 30, ""spa"": 30, ""spd"": 30, ""spe"": 30}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Bulbasaur),Pokemon Tower,Pidgeotto,25,Sand Attack,Gust,Quick Attack,Whirlwind,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Bulbasaur),,Kadabra,20,Teleport,Kinesis,Confusion,Disable,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Bulbasaur),,Exeggcute,23,Hypnosis,Reflect,Leech Seed,Confusion,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Bulbasaur),,Gyarados,22,Thrash,Bite,,,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Bulbasaur),,Charmeleon,25,Growl,Ember,Metal Claw,Growl,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Squirtle),Pokemon Tower,Pidgeotto,25,Sand Attack,Gust,Quick Attack,Whirlwind,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Squirtle),,Kadabra,20,Teleport,Kinesis,Confusion,Disable,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Squirtle),,Growlithe,22,Roar,Ember,Leer,Odor Sleuth,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Squirtle),,Gyarados,23,Thrash,Bite,,,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Squirtle),,Ivysaur,25,Vine Whip,Poison Powder,Sleep Powder,Razor Leaf,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Charmander),Pokemon Tower,Pidgeotto,25,Sand Attack,Gust,Quick Attack,Whirlwind,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Charmander),,Kadabra,20,Teleport,Kinesis,Confusion,Disable,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Charmander),,Growlithe,23,Roar,Ember,Leer,Odor Sleuth,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Charmander),,Exeggcute,22,Hypnosis,Reflect,Leech Seed,Confusion,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Tower Rival(Charmander),,Wartortle,25,Withdraw,Water Gun,Bite,Rapid Spin,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Hope,Pokemon Tower,Gastly,23,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Patricia,Pokemon Tower,Gastly,22,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Carly,Pokemon Tower,Gastly,24,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Laurel,Pokemon Tower,Gastly,23,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Laurel,,Gastly,23,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Jody,Pokemon Tower,Gastly,22,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Paula,Pokemon Tower,Gastly,24,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Ruth,Pokemon Tower,Gastly,22,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Tammy,Pokemon Tower,Haunter,23,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Karina,Pokemon Tower,Gastly,24,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Janae,Pokemon Tower,Gastly,22,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Angelica,Pokemon Tower,Gastly,22,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Angelica,,Gastly,22,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Angelica,,Gastly,22,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Jennifer,Pokemon Tower,Gastly,24,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Channeler Emilia,Pokemon Tower,Gastly,24,Spite,Curse,Night Shade,Confuse Ray,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 19,Pokemon Tower,Zubat,25,Astonish,Supersonic,Bite,Wing Attack,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 19,,Zubat,25,Astonish,Supersonic,Bite,Wing Attack,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 19,,Golbat,25,Astonish,Supersonic,Bite,Wing Attack,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
