pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities,gender_threshold
275,Shiftry,grass,dark,90,100,60,90,60,80,"['Chlorophyll', 'Early Bird', 'Pickpocket']",127
276,Taillow,normal,flying,40,55,30,30,30,85,"['Guts', 'Scrappy']",127
277,Swellow,normal,flying,60,85,60,75,50,125,"['Guts', 'Scrappy']",127
278,Wingull,water,flying,40,30,30,55,30,85,"['Keen Eye', 'Hydration', 'Rain Dish']",127
279,Pelipper,water,flying,60,50,100,95,70,65,"['Keen Eye', 'Drizzle', 'Rain Dish']",127
280,Ralts,psychic,none,28,25,25,45,35,40,"['Synchronize', 'Trace', 'Telepathy']",127
281,Kirlia,psychic,none,38,35,35,65,55,50,"['Synchronize', 'Trace', 'Telepathy']",127
282,Gardevoir,psychic,none,68,85,65,165,135,100,"['Synchronize', 'Trace', 'Telepathy']",127
283,Surskit,bug,water,40,30,32,50,52,65,"['Swift Swim', 'Rain Dish']",127
284,Masquerain,bug,flying,70,60,62,100,82,80,"['Intimidate', 'Unnerve']",127
285,Shroomish,grass,none,60,40,60,40,60,35,"['Effect Spore', 'Poison Heal', 'Quick Feet']",127
286,Breloom,grass,fighting,60,130,80,60,60,70,"['Effect Spore', 'Poison Heal', 'Technician']",127
287,Slakoth,normal,none,60,60,60,35,35,30,['Truant'],127
288,Vigoroth,normal,none,80,80,80,55,55,90,['Vital Spirit'],127
289,Slaking,normal,none,150,160,100,95,65,100,['Truant'],127
290,Nincada,bug,ground,31,45,90,30,30,40,"['Compoundeyes', 'Run Away']",127
291,Ninjask,bug,flying,61,90,45,50,50,160,"['Speed Boost', 'Infiltrator']",127
292,Shedinja,bug,ghost,1,90,45,30,30,40,['Wonder Guard'],none
293,Whismur,normal,none,64,51,23,51,23,28,"['Soundproof', 'Rattled']",127
294,Loudred,normal,none,84,71,43,71,43,48,"['Soundproof', 'Scrappy']",127
295,Exploud,normal,none,104,91,63,91,73,68,"['Soundproof', 'Scrappy']",127
296,Makuhita,fighting,none,72,60,30,20,30,25,"['Thick Fat', 'Guts', 'Sheer Force']",63
297,Hariyama,fighting,none,144,120,60,40,60,50,"['Thick Fat', 'Guts', 'Sheer Force']",63
298,Azurill,normal,none,50,20,40,20,40,20,"['Thick Fat', 'Huge Power', 'Sap Sipper']",191
299,Nosepass,rock,none,30,45,135,45,90,30,"['Sturdy', 'Magnet Pull', 'Sand Force']",127
300,Skitty,normal,none,50,45,45,35,35,50,"['Cute Charm', 'Normalize', 'Wonder Skin ']",191
301,Delcatty,normal,none,70,65,65,55,55,90,"['Cute Charm', 'Normalize', 'Wonder Skin ']",191
302,Sableye,dark,ghost,50,85,125,85,115,20,"['Keen Eye', 'Stall', 'Prankster']",127
303,Mawile,steel,none,50,105,125,55,95,50,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",127
304,Aron,steel,rock,50,70,100,40,40,30,"['Sturdy', 'Rock Head', 'Heavy Metal']",127
305,Lairon,steel,rock,60,90,140,50,50,40,"['Sturdy', 'Rock Head', 'Heavy Metal']",127
306,Aggron,steel,rock,70,140,230,60,80,50,"['Sturdy', 'Rock Head', 'Heavy Metal']",127
307,Meditite,fighting,psychic,30,40,55,40,55,60,"['Pure Power', 'Telepathy']",127
308,Medicham,fighting,psychic,60,100,85,80,85,100,"['Pure Power', 'Telepathy']",127
309,Electrike,electric,none,40,45,40,65,40,65,"['Static', 'Lightningrod', 'Minus']",127
310,Manectric,electric,none,70,75,80,135,80,135,"['Static', 'Lightningrod', 'Minus']",127
311,Plusle,electric,none,60,50,40,85,75,95,"['Plus', 'Lightningrod']",127
312,Minun,electric,none,60,40,50,75,85,95,"['Minus', 'Volt Absorb']",127
313,Volbeat,bug,none,65,73,75,47,85,85,"['Illuminate', 'Swarm', 'Prankster']",0
314,Illumise,bug,none,65,47,75,73,85,85,"['Oblivious', 'Tinted Lens', 'Prankster']",254
315,Roselia,grass,poison,50,60,45,100,80,65,"['Natural Cure', 'Poison Point', 'Leaf Guard']",127
316,Gulpin,poison,none,70,43,53,43,53,40,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",127
317,Swalot,poison,none,100,73,83,73,83,55,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",127
318,Carvanha,water,dark,45,90,20,65,20,65,"['Rough Skin', 'Speed Boost']",127
319,Sharpedo,water,dark,70,140,70,110,65,105,"['Rough Skin', 'Speed Boost']",127
320,Wailmer,water,none,130,70,35,70,35,60,"['Water Veil', 'Oblivious', 'Pressure']",127
321,Wailord,water,none,170,90,45,90,45,60,"['Water Veil', 'Oblivious', 'Pressure']",127
322,Numel,fire,ground,60,60,40,65,45,35,"['Oblivious', 'Simple', 'Own Tempo']",127
323,Camerupt,fire,ground,70,120,100,145,105,20,"['Magma Armor', 'Solid Rock', 'Anger Point']",127
324,Torkoal,fire,none,70,85,140,85,70,20,"['White Smoke', 'Drought', 'Shell Armor']",127
325,Spoink,psychic,none,60,25,35,70,80,60,"['Thick Fat', 'Own Tempo', 'Gluttony']",127
326,Grumpig,psychic,none,80,45,65,90,110,80,"['Thick Fat', 'Own Tempo', 'Gluttony']",127
327,Spinda,normal,none,60,60,60,60,60,60,"['Own Tempo', 'Tangled Feet', 'Contrary']",127
328,Trapinch,ground,none,45,100,45,45,45,10,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",127
329,Vibrava,ground,dragon,50,70,50,50,50,70,['Levitate'],127
330,Flygon,ground,dragon,80,100,80,80,80,100,['Levitate'],127
331,Cacnea,grass,none,50,85,40,85,40,35,"['Sand Veil', 'Water Absorb']",127
332,Cacturne,grass,dark,70,115,60,115,60,55,"['Sand Veil', 'Water Absorb']",127
333,Swablu,normal,flying,45,40,60,40,75,50,"['Natural Cure', 'Cloud Nine']",127
334,Altaria,dragon,flying,75,110,110,110,105,80,"['Natural Cure', 'Cloud Nine']",127
335,Zangoose,normal,none,73,115,60,60,60,90,"['Immunity', 'Toxic Boost']",127
336,Seviper,poison,none,73,100,60,100,60,65,"['Shed Skin', 'Infiltrator']",127
337,Lunatone,rock,psychic,90,55,65,95,85,70,['Levitate'],none
338,Solrock,rock,psychic,90,95,85,55,65,70,['Levitate'],none
339,Barboach,water,ground,50,48,43,46,41,60,"['Oblivious', 'Anticipation', 'Hydration']",127
340,Whiscash,water,ground,110,78,73,76,71,60,"['Oblivious', 'Anticipation', 'Hydration']",127
341,Corphish,water,none,43,80,65,50,35,35,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",127
342,Crawdaunt,water,dark,63,120,85,90,55,55,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",127
343,Baltoy,ground,psychic,40,40,55,40,70,55,['Levitate'],none
344,Claydol,ground,psychic,60,70,105,70,120,75,['Levitate'],none
345,Lileep,rock,grass,66,41,77,61,87,23,"['Suction Cups', 'Storm Drain']",31
346,Cradily,rock,grass,86,81,97,81,107,43,"['Suction Cups', 'Storm Drain']",31
347,Anorith,rock,bug,45,95,50,40,50,75,"['Battle Armor', 'Swift Swim']",31
348,Armaldo,rock,bug,75,125,100,70,80,45,"['Battle Armor', 'Swift Swim']",31
349,Feebas,water,none,20,15,20,10,55,80,"['Swift Swim', 'Oblivious', 'Adaptability']",127
350,Milotic,water,none,95,60,79,100,125,81,"['Marvel Scale', 'Competitive', 'Cute Charm']",127
351,Castform,normal,none,70,70,70,70,70,70,['Forecast'],127
352,Kecleon,normal,none,60,90,70,60,120,40,"['Color Change', 'Protean']",127
353,Shuppet,ghost,none,44,75,35,63,33,45,"['Insomnia', 'Frisk', 'Cursed Body']",127
354,Banette,ghost,none,64,165,75,93,83,75,"['Insomnia', 'Frisk', 'Cursed Body']",127
355,Duskull,ghost,none,20,40,90,30,90,25,"['Levitate', 'Frisk']",127
356,Dusclops,ghost,none,40,70,130,60,130,25,"['Pressure', 'Frisk']",127
357,Tropius,grass,flying,99,68,83,72,87,51,"['Chlorophyll', 'Solar Power', 'Harvest']",127
358,Chimecho,psychic,none,75,50,80,95,90,65,['Levitate'],127
359,Absol,dark,none,65,150,60,115,60,115,"['Pressure', 'Super Luck', 'Justified']",127
360,Wynaut,psychic,none,95,23,48,23,48,23,"['Shadow Tag', 'Telepathy']",127
361,Snorunt,ice,none,50,50,50,50,50,50,"['Inner Focus', 'Ice Body', 'Moody']",127
362,Glalie,ice,none,80,120,80,120,80,100,"['Inner Focus', 'Ice Body', 'Moody']",127
363,Spheal,ice,water,70,40,50,55,50,25,"['Thick Fat', 'Ice Body', 'Oblivious']",127
364,Sealeo,ice,water,90,60,70,75,70,45,"['Thick Fat', 'Ice Body', 'Oblivious']",127
365,Walrein,ice,water,110,80,90,95,90,65,"['Thick Fat', 'Ice Body', 'Oblivious']",127
366,Clamperl,water,none,35,64,85,74,55,32,"['Shell Armor', 'Rattled']",127
367,Huntail,water,none,55,104,105,94,75,52,"['Swift Swim', 'Water Veil']",127
368,Gorebyss,water,none,55,84,105,114,75,52,"['Swift Swim', 'Hydration']",127
369,Relicanth,water,rock,100,90,130,45,65,55,"['Swift Swim', 'Rock Head', 'Sturdy']",31
370,Luvdisc,water,none,43,30,55,40,65,97,"['Swift Swim', 'Hydration']",191
371,Bagon,dragon,none,45,75,60,40,30,50,"['Rock Head', 'Sheer Force']",127
372,Shelgon,dragon,none,65,95,100,60,50,50,"['Rock Head', 'Overcoat']",127
373,Salamence,dragon,flying,95,145,130,120,90,120,"['Intimidate', 'Moxie']",127
374,Beldum,steel,psychic,40,55,80,35,60,30,"['Clear Body', 'Light Metal']",none
375,Metang,steel,psychic,60,75,100,55,80,50,"['Clear Body', 'Light Metal']",none
376,Metagross,steel,psychic,80,145,150,105,110,110,"['Clear Body', 'Light Metal']",none
377,Regirock,rock,none,80,100,200,50,100,50,"['Clear Body', 'Sturdy']",none
378,Regice,ice,none,80,50,100,100,200,50,"['Clear Body', 'Ice Body']",none
379,Registeel,steel,none,80,75,150,75,150,50,"['Clear Body', 'Light Metal']",none
380,Latias,dragon,psychic,80,100,120,140,150,110,['Levitate'],254
381,Latios,dragon,psychic,80,130,100,160,120,110,['Levitate'],0
382,Kyogre,water,none,100,150,90,180,160,90,['Drizzle'],none
383,Groudon,ground,none,100,180,160,150,90,90,['Drought'],none
384,Rayquaza,dragon,flying,105,180,100,180,100,115,['Air Lock'],none
385,Jirachi,steel,psychic,100,100,100,100,100,100,['Serene Grace'],none
386,Deoxys,psychic,none,50,95,90,95,90,180,['Pressure'],none
387,Turtwig,grass,none,55,68,64,45,55,31,"['Overgrow', 'Shell Armor']",31
388,Grotle,grass,none,75,89,85,55,65,36,"['Overgrow', 'Shell Armor']",31
389,Torterra,grass,ground,95,109,105,75,85,56,"['Overgrow', 'Shell Armor']",31
390,Chimchar,fire,none,44,58,44,58,44,61,"['Blaze', 'Iron Fist']",31
391,Monferno,fire,fighting,64,78,52,78,52,81,"['Blaze', 'Iron Fist']",31
392,Infernape,fire,fighting,76,104,71,104,71,108,"['Blaze', 'Iron Fist']",31
393,Piplup,water,none,53,51,53,61,56,40,"['Torrent', 'Defiant']",31
394,Prinplup,water,none,64,66,68,81,76,50,"['Torrent', 'Defiant']",31
395,Empoleon,water,steel,84,86,88,111,101,60,"['Torrent', 'Defiant']",31
396,Starly,normal,flying,40,55,30,30,30,60,"['Keen Eye', 'Reckless']",127
397,Staravia,normal,flying,55,75,50,40,40,80,"['Intimidate', 'Reckless']",127
398,Staraptor,normal,flying,85,120,70,50,60,100,"['Intimidate', 'Reckless']",127
399,Bidoof,normal,none,59,45,40,35,40,31,"['Simple', 'Unaware', 'Moody']",127
400,Bibarel,normal,water,79,85,60,55,60,71,"['Simple', 'Unaware', 'Moody']",127
401,Kricketot,bug,none,37,25,41,25,41,25,"['Shed Skin', 'Run Away']",127
402,Kricketune,bug,none,77,85,51,55,51,65,"['Swarm', 'Technician']",127
403,Shinx,electric,none,45,65,34,40,34,45,"['Rivalry', 'Intimidate', 'Guts']",127
404,Luxio,electric,none,60,85,49,60,49,60,"['Rivalry', 'Intimidate', 'Guts']",127
405,Luxray,electric,none,80,120,79,95,79,70,"['Rivalry', 'Intimidate', 'Guts']",127
406,Budew,grass,poison,40,30,35,50,70,55,"['Natural Cure', 'Poison Point', 'Leaf Guard']",127
407,Roserade,grass,poison,60,70,65,125,105,90,"['Natural Cure', 'Poison Point', 'Technician']",127
408,Cranidos,rock,none,67,125,40,30,30,58,"['Mold Breaker', 'Sheer Force']",31
409,Rampardos,rock,none,97,165,60,65,50,58,"['Mold Breaker', 'Sheer Force']",31
410,Shieldon,rock,steel,30,42,118,42,88,30,"['Sturdy', 'Soundproof']",31
411,Bastiodon,rock,steel,60,52,168,47,138,30,"['Sturdy', 'Soundproof']",31
412,Burmy,bug,none,40,29,45,29,45,36,"['Shed Skin', 'Overcoat']",127
413,Wormadam,bug,grass,60,69,95,69,95,36,"['Anticipation', 'Overcoat']",254
414,Mothim,bug,flying,70,94,50,94,50,66,"['Swarm', 'Tinted Lens']",0
415,Combee,bug,flying,30,30,42,30,42,70,"['Honey Gather', 'Hustle']",31
416,Vespiquen,bug,flying,70,80,102,80,102,40,"['Pressure', 'Unnerve']",254
417,Pachirisu,electric,none,60,45,70,45,90,95,"['Run Away', 'Pickup', 'Volt Absorb']",127
418,Buizel,water,none,55,65,35,60,30,85,"['Swift Swim', 'Water Veil']",127
419,Floatzel,water,none,85,105,55,85,50,115,"['Swift Swim', 'Water Veil']",127
420,Cherubi,grass,none,45,35,45,62,53,35,['Chlorophyll'],127
421,Cherrim,grass,none,70,60,70,87,78,85,['Flower Gift'],127
422,Shellos,water,none,76,48,48,57,62,34,"['Sticky Hold', 'Storm Drain', 'Sand Force']",127
423,Gastrodon,water,ground,111,83,68,92,82,39,"['Sticky Hold', 'Storm Drain', 'Sand Force']",127
424,Ambipom,normal,none,75,100,66,60,66,115,"['Technician', 'Pickup', 'Skill Link']",127
425,Drifloon,ghost,flying,90,50,34,60,44,70,"['Aftermath', 'Unburden', 'Flare Boost']",127
426,Drifblim,ghost,flying,150,80,44,90,54,80,"['Aftermath', 'Unburden', 'Flare Boost']",127
427,Buneary,normal,none,55,66,44,44,56,85,"['Run Away', 'Klutz', 'Limber']",127
428,Lopunny,normal,none,65,136,94,54,96,135,"['Cute Charm', 'Klutz', 'Limber']",127
429,Mismagius,ghost,none,60,60,60,105,105,105,['Levitate'],127
430,Honchkrow,dark,flying,100,125,52,105,52,71,"['Insomnia', 'Super Luck', 'Moxie']",127
431,Glameow,normal,none,49,55,42,42,37,85,"['Limber', 'Own Tempo', 'Keen Eye']",191
432,Purugly,normal,none,71,82,64,64,59,112,"['Thick Fat', 'Own Tempo', 'Defiant']",191
433,Chingling,psychic,none,45,30,50,65,50,45,['Levitate'],127
434,Stunky,poison,dark,63,63,47,41,41,74,"['Stench', 'Aftermath', 'Keen Eye']",127
435,Skuntank,poison,dark,103,93,67,71,61,84,"['Stench', 'Aftermath', 'Keen Eye']",127
436,Bronzor,steel,psychic,57,24,86,24,86,23,"['Levitate', 'Heatproof', 'Heavy Metal']",none
437,Bronzong,steel,psychic,67,89,116,79,116,33,"['Levitate', 'Heatproof', 'Heavy Metal']",none
438,Bonsly,rock,none,50,80,95,10,45,10,"['Sturdy', 'Rock Head', 'Rattled']",127
439,Mime Jr.,psychic,none,20,25,45,70,90,60,"['Soundproof', 'Filter', 'Technician']",127
440,Happiny,normal,none,100,5,5,15,65,30,"['Natural Cure', 'Serene Grace', 'Friend Guard']",254
441,Chatot,normal,flying,76,65,45,92,42,91,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",127
442,Spiritomb,ghost,dark,50,92,108,92,108,35,"['Pressure', 'Infiltrator']",127
443,Gible,dragon,ground,58,70,45,40,45,42,"['Sand Veil', 'Rough Skin']",127
444,Gabite,dragon,ground,68,90,65,50,55,82,"['Sand Veil', 'Rough Skin']",127
445,Garchomp,dragon,ground,108,170,115,120,95,92,"['Sand Veil', 'Rough Skin']",127
446,Munchlax,normal,none,135,85,40,40,85,5,"['Pickup', 'Thick Fat', 'Gluttony']",31
447,Riolu,fighting,none,40,70,40,35,40,60,"['Steadfast', 'Inner Focus', 'Prankster']",31
448,Lucario,fighting,steel,70,145,88,140,70,112,"['Steadfast', 'Inner Focus', 'Justified']",31
449,Hippopotas,ground,none,68,72,78,38,42,32,"['Sand Stream', 'Sand Force']",127
450,Hippowdon,ground,none,108,112,118,68,72,47,"['Sand Stream', 'Sand Force']",127
451,Skorupi,poison,bug,40,50,90,30,55,65,"['Battle Armor', 'Sniper', 'Keen Eye']",127
452,Drapion,poison,dark,70,90,110,60,75,95,"['Battle Armor', 'Sniper', 'Keen Eye']",127
453,Croagunk,poison,fighting,48,61,40,61,40,50,"['Anticipation', 'Dry Skin', 'Poison Touch']",127
454,Toxicroak,poison,fighting,83,106,65,86,65,85,"['Anticipation', 'Dry Skin', 'Poison Touch']",127
455,Carnivine,grass,none,74,100,72,90,72,46,['Levitate'],127
456,Finneon,water,none,49,49,56,49,61,66,"['Swift Swim', 'Storm Drain', 'Water Veil']",127
457,Lumineon,water,none,69,69,76,69,86,91,"['Swift Swim', 'Storm Drain', 'Water Veil']",127
458,Mantyke,water,flying,45,20,50,60,120,50,"['Swift Swim', 'Water Absorb', 'Water Veil']",127
459,Snover,grass,ice,60,62,50,62,60,40,"['Snow Warning', 'Soundproof']",127
460,Abomasnow,grass,ice,90,132,105,132,105,30,"['Snow Warning', 'Soundproof']",127
461,Weavile,dark,ice,70,120,65,45,85,125,"['Pressure', 'Pickpocket']",127
462,Magnezone,electric,steel,70,70,115,130,90,60,"['Magnet Pull', 'Sturdy', 'Analytic']",none
463,Lickilicky,normal,none,110,85,95,80,95,50,"['Own Tempo', 'Oblivious', 'Cloud Nine']",127
464,Rhyperior,ground,rock,115,140,130,55,55,40,"['Lightningrod', 'Solid Rock', 'Reckless']",127
465,Tangrowth,grass,none,100,100,125,110,50,50,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",127
466,Electivire,electric,none,75,123,67,95,85,95,"['Motor Drive', 'Vital Spirit']",63
467,Magmortar,fire,none,75,95,67,125,95,83,"['Flame Body', 'Vital Spirit']",63
468,Togekiss,normal,flying,85,50,95,120,115,80,"['Hustle', 'Serene Grace', 'Super Luck']",31
469,Yanmega,bug,flying,86,76,86,116,56,95,"['Speed Boost', 'Tinted Lens', 'Frisk']",127
470,Leafeon,grass,none,65,110,130,60,65,95,"['Leaf Guard', 'Chlorophyll']",31
471,Glaceon,ice,none,65,60,110,130,95,65,"['Snow Cloak', 'Ice Body']",31
472,Gliscor,ground,flying,75,95,125,45,75,95,"['Hyper Cutter', 'Sand Veil', 'Poison Heal']",127
473,Mamoswine,ice,ground,110,130,80,70,60,80,"['Oblivious', 'Snow Cloak', 'Thick Fat']",127
474,Porygon-Z,normal,none,85,80,70,135,75,90,"['Adaptability', 'Download', 'Analytic']",none
475,Gallade,psychic,fighting,68,165,95,65,115,110,"['Steadfast', 'Justified']",0
476,Probopass,rock,steel,60,55,145,75,150,40,"['Sturdy', 'Magnet Pull', 'Sand Force']",127
477,Dusknoir,ghost,none,45,100,135,65,135,45,"['Pressure', 'Frisk']",127
478,Froslass,ice,ghost,70,80,70,80,70,110,"['Snow Cloak', 'Cursed Body']",254
479,Rotom,electric,ghost,50,65,107,105,107,86,['Levitate'],none
480,Uxie,psychic,none,75,75,130,75,130,95,['Levitate'],none
481,Mesprit,psychic,none,80,105,105,105,105,80,['Levitate'],none
482,Azelf,psychic,none,75,125,70,125,70,115,['Levitate'],none
483,Dialga,steel,dragon,100,120,120,150,100,90,"['Pressure', 'Telepathy']",none
484,Palkia,water,dragon,90,120,100,150,120,100,"['Pressure', 'Telepathy']",none
485,Heatran,fire,steel,91,90,106,130,106,77,"['Flash Fire', 'Flame Body']",127
486,Regigigas,normal,none,110,160,110,80,110,100,['Slow Start'],none
487,Giratina,ghost,dragon,150,120,100,120,100,90,"['Pressure', 'Telepathy', 'Levitate']",none
488,Cresselia,psychic,none,120,70,120,75,130,85,['Levitate'],254
489,Phione,water,none,80,80,80,80,80,80,['Hydration'],none
490,Manaphy,water,none,100,100,100,100,100,100,['Hydration'],none
491,Darkrai,dark,none,70,90,90,135,90,125,['Bad Dreams'],none
492,Shaymin,grass,grass,100,103,75,120,75,127,"['Natural Cure', 'Serene Grace']",none
493,Arceus,normal,none,120,120,120,120,120,120,['Multitype'],none
494,Victini,psychic,fire,100,100,100,100,100,100,['Victory Star'],none
495,Snivy,grass,none,45,45,55,45,55,63,"['Overgrow', 'Contrary']",31
496,Servine,grass,none,60,60,75,60,75,83,"['Overgrow', 'Contrary']",31
497,Serperior,grass,none,75,75,95,75,95,113,"['Overgrow', 'Contrary']",31
498,Tepig,fire,none,65,63,45,45,45,45,"['Blaze', 'Thick Fat']",31
499,Pignite,fire,fighting,90,93,55,70,55,55,"['Blaze', 'Thick Fat']",31
500,Emboar,fire,fighting,110,123,65,100,65,65,"['Blaze', 'Reckless']",31
501,Oshawott,water,none,55,55,45,63,45,45,"['Torrent', 'Shell Armor']",31
502,Dewott,water,none,75,75,60,83,60,60,"['Torrent', 'Shell Armor']",31
503,Samurott,water,none,95,100,85,108,70,70,"['Torrent', 'Shell Armor']",31
504,Patrat,normal,none,45,55,39,35,39,42,"['Run Away', 'Keen Eye', 'Analytic']",127
505,Watchog,normal,none,60,85,69,60,69,77,"['Illuminate', 'Keen Eye', 'Analytic']",127
506,Lillipup,normal,none,45,60,45,25,45,55,"['Vital Spirit', 'Pickup', 'Run Away']",127
507,Herdier,normal,none,65,80,65,35,65,60,"['Intimidate', 'Sand Rush', 'Scrappy']",127
508,Stoutland,normal,none,85,110,90,45,90,80,"['Intimidate', 'Sand Rush', 'Scrappy']",127
509,Purrloin,dark,none,41,50,37,50,37,66,"['Limber', 'Unburden', 'Prankster']",127
510,Liepard,dark,none,64,88,50,88,50,106,"['Limber', 'Unburden', 'Prankster']",127
511,Pansage,grass,none,50,53,48,53,48,64,"['Gluttony', 'Overgrow']",31
512,Simisage,grass,none,75,98,63,98,63,101,"['Gluttony', 'Overgrow']",31
513,Pansear,fire,none,50,53,48,53,48,64,"['Gluttony', 'Blaze']",31
514,Simisear,fire,none,75,98,63,98,63,101,"['Gluttony', 'Blaze']",31
515,Panpour,water,none,50,53,48,53,48,64,"['Gluttony', 'Torrent']",31
516,Simipour,water,none,75,98,63,98,63,101,"['Gluttony', 'Torrent']",31
517,Munna,psychic,none,76,25,45,67,55,24,"['Forewarn', 'Synchronize', 'Telepathy']",127
518,Musharna,psychic,none,116,55,85,107,95,29,"['Forewarn', 'Synchronize', 'Telepathy']",127
519,Pidove,normal,flying,50,55,50,36,30,43,"['Big Pecks', 'Super Luck', 'Rivalry']",127
520,Tranquill,normal,flying,62,77,62,50,42,65,"['Big Pecks', 'Super Luck', 'Rivalry']",127
521,Unfezant,normal,flying,80,115,80,65,55,93,"['Big Pecks', 'Super Luck', 'Rivalry']",127
522,Blitzle,electric,none,45,60,32,50,32,76,"['Lightningrod', 'Motor Drive', 'Sap Sipper']",127
523,Zebstrika,electric,none,75,100,63,80,63,116,"['Lightningrod', 'Motor Drive', 'Sap Sipper']",127
524,Roggenrola,rock,none,55,75,85,25,25,15,"['Sturdy', 'Weak Armor', 'Sand Force']",127
525,Boldore,rock,none,70,105,105,50,40,20,"['Sturdy', 'Weak Armor', 'Sand Force']",127
526,Gigalith,rock,none,85,135,130,60,80,25,"['Sturdy', 'Sand Stream', 'Sand Force']",127
527,Woobat,psychic,flying,65,45,43,55,43,72,"['Unaware', 'Klutz', 'Simple']",127
528,Swoobat,psychic,flying,67,57,55,77,55,114,"['Unaware', 'Klutz', 'Simple']",127
529,Drilbur,ground,none,60,85,40,30,45,68,"['Sand Rush', 'Sand Force', 'Mold Breaker']",127
530,Excadrill,ground,steel,110,135,60,50,65,88,"['Sand Rush', 'Sand Force', 'Mold Breaker']",127
531,Audino,normal,none,103,60,126,80,126,50,"['Healer', 'Regenerator', 'Klutz']",127
532,Timburr,fighting,none,75,80,55,25,35,35,"['Guts', 'Sheer Force', 'Iron Fist']",63
533,Gurdurr,fighting,none,85,105,85,40,50,40,"['Guts', 'Sheer Force', 'Iron Fist']",63
534,Conkeldurr,fighting,none,105,140,95,55,65,45,"['Guts', 'Sheer Force', 'Iron Fist']",63
535,Tympole,water,none,50,50,40,50,40,64,"['Swift Swim', 'Hydration', 'Water Absorb']",127
536,Palpitoad,water,ground,75,65,55,65,55,69,"['Swift Swim', 'Hydration', 'Water Absorb']",127
537,Seismitoad,water,ground,105,95,75,85,75,74,"['Swift Swim', 'Poison Touch', 'Water Absorb']",127
538,Throh,fighting,none,120,100,85,30,85,45,"['Guts', 'Inner Focus', 'Mold Breaker']",0
539,Sawk,fighting,none,75,125,75,30,75,85,"['Sturdy', 'Inner Focus', 'Mold Breaker']",0
540,Sewaddle,bug,grass,45,53,70,40,60,42,"['Swarm', 'Chlorophyll', 'Overcoat']",127
541,Swadloon,bug,grass,55,63,90,50,80,42,"['Leaf Guard', 'Chlorophyll', 'Overcoat']",127
542,Leavanny,bug,grass,75,103,80,70,80,92,"['Swarm', 'Chlorophyll', 'Overcoat']",127
543,Venipede,bug,poison,30,45,59,30,39,57,"['Poison Point', 'Swarm', 'Speed Boost']",127
544,Whirlipede,bug,poison,40,55,99,40,79,47,"['Poison Point', 'Swarm', 'Speed Boost']",127
545,Scolipede,bug,poison,60,100,89,55,69,112,"['Poison Point', 'Swarm', 'Speed Boost']",127
546,Cottonee,grass,none,40,27,60,37,50,66,"['Prankster', 'Infiltrator', 'Chlorophyll']",127
547,Whimsicott,grass,none,60,67,85,77,75,116,"['Prankster', 'Infiltrator', 'Chlorophyll']",127
548,Petilil,grass,none,45,35,50,70,50,30,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",254
549,Lilligant,grass,none,70,60,75,110,75,90,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",254
550,Basculin,water,none,70,92,65,80,55,98,"['Reckless', 'Rock Head', 'Adaptability', 'Mold Breaker']",127
551,Sandile,ground,dark,50,72,35,35,35,65,"['Intimidate', 'Moxie', 'Anger Point']",127
552,Krokorok,ground,dark,60,82,45,45,45,74,"['Intimidate', 'Moxie', 'Anger Point']",127
553,Krookodile,ground,dark,95,117,80,65,70,92,"['Intimidate', 'Moxie', 'Anger Point']",127
554,Darumaka,fire,none,70,90,45,15,45,50,"['Hustle', 'Inner Focus']",127
555,Darmanitan,fire,fire,105,30,105,140,105,55,"['Sheer Force', 'Zen Mode']",127
556,Maractus,grass,none,75,86,67,106,67,60,"['Water Absorb', 'Chlorophyll', 'Storm Drain']",127
557,Dwebble,bug,rock,50,65,85,35,35,55,"['Sturdy', 'Shell Armor', 'Weak Armor']",127
558,Crustle,bug,rock,70,105,125,65,75,45,"['Sturdy', 'Shell Armor', 'Weak Armor']",127
559,Scraggy,dark,fighting,50,75,70,35,70,48,"['Shed Skin', 'Moxie', 'Intimidate']",127
560,Scrafty,dark,fighting,65,90,115,45,115,58,"['Shed Skin', 'Moxie', 'Intimidate']",127
561,Sigilyph,psychic,flying,72,58,80,103,80,97,"['Wonder Skin ', 'Magic Guard', 'Tinted Lens']",127
562,Yamask,ghost,none,38,30,85,55,65,30,['Mummy'],127
563,Cofagrigus,ghost,none,58,50,145,95,105,30,['Mummy'],127
564,Tirtouga,water,rock,54,78,103,53,45,22,"['Solid Rock', 'Sturdy', 'Swift Swim']",31
565,Carracosta,water,rock,74,108,133,83,65,32,"['Solid Rock', 'Sturdy', 'Swift Swim']",31
566,Archen,rock,flying,55,112,45,74,45,70,['Defeatist'],31
567,Archeops,rock,flying,75,140,65,112,65,110,['Defeatist'],31
